Model / Boru Hattı Mimarisi,Normal Fold-Avg MAD (ha),MAD Varyansı (ha),Normal Fold-Avg RMSE (ha),Global Pooled RMSE (ha),RMSE Varyansı (ha),Global RMSLE (Log-Hata),Aşırı Öğrenme Denetimi,Optimal Hiperparametreler ve Eşik
Level-1 Stacking: Hedef Dönüşümlü Log-Stacking,12.66948127746582,2.3237133026123047,29.677438735961914,33.621891021728516,3.9444522857666016,1.4680390357971191,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 288.06508116756623, 'w_svr': 0.9876573808390906, 'w_mlp': 0.27780289045362627, 'w_slsqp': 0.18807836392607696}"
Level-1 Stacking: Dışbükey MAD SLSQP Yığınlama,12.653627332997473,2.5276657614570244,29.714102884749465,32.00031816167736,2.286215276927898,1.4974366219266373,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 249.77991713916748, 'w_svr': 0.744866216156327, 'w_mlp': 0.2532564007080079, 'w_slsqp': 0.13861231968553367}"
Level-1 Stacking: Pareto Çift-Kayıp SLSQP Yığınlama,12.653627332997473,2.5276657614570244,29.714102884749465,32.00031816167736,2.286215276927898,1.4974366219266373,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 249.77991713916748, 'w_svr': 0.744866216156327, 'w_mlp': 0.2532564007080079, 'w_slsqp': 0.13861231968553367}"
Level-0 Deep Net Şampiyonu (RegularizedMLP_LogCosh),12.652600288391113,2.2559118270874023,29.728252410888672,34.256160736083984,4.5279083251953125,1.5020349025726318,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 305.64217014778905, 'w_svr': 0.9859693460929284, 'w_mlp': 0.19483472119832188, 'w_slsqp': 0.10186187569522358}"
Level-0 Tekil Şampiyon Referansı (07_SVR_RBF),12.652548789978027,2.7890844345092773,29.730335235595703,30.104005813598633,0.3736705780029297,1.5024062395095825,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 206.76158651088508, 'w_svr': 0.97254492200669, 'w_mlp': 0.4644111094369, 'w_slsqp': 0.6166788527583089}"
Hard Hurdle 1: LightGBM Bekçi (τ=0.50) + SLSQP,12.621409006633828,2.1457575459698717,29.82544139142115,35.359231472990466,5.533790081569315,1.5793533675651126,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 334.08268165060645, 'tau': 0.41221275458905016, 'w_svr': 0.2429564667567793, 'w_slsqp': 0.7547340170256533, 'w_log': 0.09017405294742792}"
Hard Hurdle 2: LightGBM Bekçi (τ=0.48) + SLSQP (Kesin Engel Rekoru),12.621409006633828,2.1457575459698717,29.82544139142115,35.359231472990466,5.533790081569315,1.5793533675651126,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 334.08268165060645, 'tau': 0.41221275458905016, 'w_svr': 0.2429564667567793, 'w_slsqp': 0.7547340170256533, 'w_log': 0.09017405294742792}"
Fused Hybrid 1: LightGBM Bekçi (τ=0.48) + Pareto SLSQP,12.621409006633828,2.1457575459698717,29.82544139142115,35.359231472990466,5.533790081569315,1.5793533675651126,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 334.08268165060645, 'tau': 0.41221275458905016, 'w_svr': 0.2429564667567793, 'w_slsqp': 0.7547340170256533, 'w_log': 0.09017405294742792}"
Fused Hybrid 6: Ultimate Convex Fusion (Defter 5 Şampiyonu),12.621409006633828,2.1457575459698717,29.82544139142115,35.359231472990466,5.533790081569315,1.5793533675651126,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 334.08268165060645, 'tau': 0.41221275458905016, 'w_svr': 0.2429564667567793, 'w_slsqp': 0.7547340170256533, 'w_log': 0.09017405294742792}"
Fused Hybrid 3: LightGBM Bekçi (τ=0.48) + Log-Stacking,12.621409006633828,2.1457575459698717,29.82544139142115,35.359231472990466,5.533790081569315,1.5793533675651126,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 334.08268165060645, 'tau': 0.41221275458905016, 'w_svr': 0.2429564667567793, 'w_slsqp': 0.7547340170256533, 'w_log': 0.09017405294742792}"
Soft Hurdle 3: İzotonik Kalibre LightGBM * SLSQP,12.641688894823337,3.1977756399678103,29.84498272697545,27.540413607799685,2.3045691191757633,1.5412183716022712,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 171.71200275727657, 'gamma': 0.8037167760583543, 'w_svr': 0.10133030331375426, 'w_slsqp': 0.8596498751955511}"
Soft Hurdle 6: Üslü Güç Modülasyonu (γ=1.5) * SLSQP,12.645138640836075,2.29244437909313,29.847319497107343,34.03228400774817,4.184964510640825,1.56215037573062,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 296.290938927771, 'gamma': 0.9633352771002122, 'w_svr': 0.06584175614586915, 'w_slsqp': 0.954842796535468}"
Hard Hurdle 5: Topluluk Bekçi (τ=0.48) + SLSQP,12.630782672395979,2.105092002488142,29.86308561494976,35.76827438182287,5.90518876687311,1.5844928024593854,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 344.63701523263296, 'tau': 0.4223078236933991, 'w_svr': 0.8387021267789284, 'w_slsqp': 0.4783580543521318, 'w_log': 0.10639078516612781, 'w_gate': 0.621030154193124}"
Soft Hurdle 4: İzotonik Kalibre Topluluk * SLSQP,12.642809647906207,2.5981508501792856,29.87262836898074,31.569520431469844,1.696892062489102,1.5552478260684088,DİKKAT: VARYANS YÜKSEK,"{'clip_limit': 237.61419822444125, 'gamma': 0.9730223700329048, 'w_svr': 0.07918760302240901, 'w_slsqp': 0.875139983178491}"
